OB-Category;OB-Rating;OB-in-Title?;Bug-Category;Experiment Name;# of Retrievals;MRR;MAP;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10;Avg. Hits;# of Success;# of Failure
All;All;0;All;LUCENE_results_with_details.csv;173;0.3589182493806771;0.31566209459843475;0.2774566473988439;0.4046242774566474;0.44508670520231214;0.4508670520231214;0.45664739884393063;0.4624277456647399;0.4682080924855491;0.4682080924855491;0.4682080924855491;0.4682080924855491;0.4369942196531792;114;59
All;All;1;All;LUCENE_results_with_details.csv;81;0.4829218106995885;0.43947383891828334;0.38271604938271603;0.5185185185185185;0.5555555555555556;0.6172839506172839;0.6296296296296297;0.6419753086419753;0.6419753086419753;0.6419753086419753;0.6419753086419753;0.6419753086419753;0.5913580246913581;74;7
All;1;All;All;LUCENE_results_with_details.csv;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;14
All;2;All;All;LUCENE_results_with_details.csv;56;0.21785714285714283;0.17260416666666667;0.19642857142857142;0.23214285714285715;0.23214285714285715;0.23214285714285715;0.25;0.25;0.25;0.25;0.25;0.25;0.23928571428571432;27;29
All;3;All;All;LUCENE_results_with_details.csv;54;0.4876543209876543;0.43585390946502056;0.4074074074074074;0.48148148148148145;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.5777777777777777;48;6
All;4;All;All;LUCENE_results_with_details.csv;76;0.45187969924812027;0.4215802358037469;0.32894736842105265;0.5263157894736842;0.5394736842105263;0.5921052631578947;0.6052631578947368;0.618421052631579;0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;0.5736842105263158;62;14
All;5;All;All;LUCENE_results_with_details.csv;51;0.5555555555555556;0.48950746965452846;0.4117647058823529;0.6470588235294118;0.6862745098039216;0.7254901960784313;0.7254901960784313;0.7450980392156863;0.7450980392156863;0.7450980392156863;0.7450980392156863;0.7450980392156863;0.692156862745098;48;3
Easy;All;All;All;LUCENE_results_with_details.csv;124;0.5032258064516129;0.44360119047619045;0.3709677419354839;0.5806451612903226;0.6129032258064516;0.6612903225806451;0.6774193548387096;0.6854838709677419;0.6854838709677419;0.6854838709677419;0.6854838709677419;0.6854838709677419;0.6330645161290323;107;17
Hard;All;All;All;LUCENE_results_with_details.csv;130;0.29853479853479853;0.27077212076048107;0.25384615384615383;0.3076923076923077;0.35384615384615387;0.35384615384615387;0.35384615384615387;0.36153846153846153;0.36923076923076925;0.36923076923076925;0.36923076923076925;0.36923076923076925;0.3461538461538462;81;49
All;All;All;Non-Synthetic Bug;LUCENE_results_with_details.csv;150;0.4087777777777778;0.362049330055909;0.3;0.46;0.52;0.54;0.5533333333333333;0.56;0.56;0.56;0.56;0.56;0.5173333333333334;102;48
All;All;All;Synthetic Bug;LUCENE_results_with_details.csv;104;0.38358516483516486;0.3451877289377289;0.3269230769230769;0.41346153846153844;0.4230769230769231;0.4519230769230769;0.4519230769230769;0.46153846153846156;0.47115384615384615;0.47115384615384615;0.47115384615384615;0.47115384615384615;0.44134615384615394;86;18
Easy;2;0;All;BLIP_results_with_details.csv;1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;1;0
Easy;2;1;All;BLIP_results_with_details.csv;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0
Easy;3;0;All;BLIP_results_with_details.csv;8;0.6636904761904762;0.5845647903070209;0.5;0.75;0.75;0.75;0.75;0.875;1.0;1.0;1.0;1.0;0.8375;8;0
Easy;3;1;All;BLIP_results_with_details.csv;8;0.33209325396825395;0.31780783894754483;0.0;0.5;0.625;0.625;0.625;0.625;0.75;0.875;0.875;0.875;0.6375;8;0
Easy;4;0;All;BLIP_results_with_details.csv;34;0.30637197769550706;0.28521160498714676;0.17647058823529413;0.20588235294117646;0.29411764705882354;0.4117647058823529;0.4411764705882353;0.5;0.5882352941176471;0.5882352941176471;0.6176470588235294;0.6764705882352942;0.45;34;0
